"date","season","year","month","holiday","weekday","workingday","weather","temp","atemp","humidity","windspeed","registered","count"
"2011-03-02",1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,1903,2134
"2011-03-03",1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,1562,1685
"2011-03-04",1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,1730,1944
"2011-03-05",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,1437,2077
"2011-03-06",1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,491,605
"2011-03-07",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,1628,1872
"2011-03-08",1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,1817,2133
"2011-03-09",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,1700,1891
"2011-03-10",1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,577,623
"2011-03-11",1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,1730,1977
"2011-03-12",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,1408,2132
"2011-03-13",1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,1435,2417
"2011-03-14",1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,1687,2046
"2011-03-15",1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,1767,2056
"2011-03-16",1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,1871,2192
"2011-03-17",1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,2320,2744
"2011-03-18",1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,2355,3239
"2011-03-19",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1693,3117
"2011-03-20",1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1424,2471
"2011-03-21",2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,1676,2077
"2011-03-22",2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,2243,2703
"2011-03-23",2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,1918,2121
"2011-03-24",2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,1699,1865
"2011-03-25",2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,1910,2210
"2011-03-26",2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,1515,2496
"2011-03-27",2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,1221,1693
"2011-03-28",2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,1806,2028
"2011-03-29",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,2108,2425
"2011-03-30",2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,1368,1536
"2011-03-31",2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,1506,1685
"2011-04-01",2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,1920,2227
"2011-04-02",2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,1354,2252
"2011-04-03",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1598,3249
"2011-04-04",2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,2381,3115
"2011-04-05",2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,1628,1795
"2011-04-06",2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,2395,2808
"2011-04-07",2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,2570,3141
"2011-04-08",2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,1299,1471
"2011-04-09",2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,1576,2455
"2011-04-10",2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1707,2895
"2011-04-11",2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,2493,3348
"2011-04-12",2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,1777,2034
"2011-04-13",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,1953,2162
"2011-04-14",2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,2738,3267
"2011-04-15",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,2484,3126
"2011-04-16",2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,674,795
"2011-04-17",2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,2186,3744
"2011-04-18",2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,2760,3429
"2011-04-19",2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,2795,3204
"2011-04-20",2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,3331,3944
"2011-04-21",2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,3444,4189
"2011-04-22",2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,1506,1683
"2011-04-23",2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,2574,4036
"2011-04-24",2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,2481,4191
"2011-04-25",2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,3300,4073
"2011-04-26",2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,3722,4400
"2011-04-27",2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,3325,3872
"2011-04-28",2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,3489,4058
"2011-04-29",2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,3717,4595
"2011-04-30",2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,3347,5312
"2011-05-01",2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,2213,3351
"2011-05-02",2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,3554,4401
"2011-05-03",2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,3848,4451
"2011-05-04",2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,2378,2633
"2011-05-05",2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,3819,4433
"2011-05-06",2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,3714,4608
"2011-05-07",2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,3102,4714
"2011-05-08",2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,2932,4333
"2011-05-09",2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,3698,4362
"2011-05-10",2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,4109,4803
"2011-05-11",2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,3632,4182
"2011-05-12",2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,4169,4864
"2011-05-13",2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,3413,4105
"2011-05-14",2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,2507,3409
"2011-05-15",2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,2971,4553
"2011-05-16",2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,3185,3958
"2011-05-17",2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,3445,4123
"2011-05-18",2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,3319,3855
"2011-05-19",2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,3840,4575
"2011-05-20",2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,4008,4917
"2011-05-21",2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,3547,5805
"2011-05-22",2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,3084,4660
"2011-05-23",2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,3438,4274
"2011-05-24",2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,3833,4492
"2011-05-25",2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,4238,4978
"2011-05-26",2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,3919,4677
"2011-05-27",2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,3808,4679
"2011-05-28",2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2757,4758
"2011-05-29",2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2433,4788
"2011-05-30",2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,2549,4098
"2011-05-31",2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,3309,3982
"2011-06-01",2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,3461,3974
"2011-06-02",2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,4232,4968
"2011-06-03",2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,4414,5312
"2011-06-04",2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,3473,5342
"2011-06-05",2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,3221,4906
"2011-06-06",2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,3875,4548
"2011-06-07",2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,4070,4833
"2011-06-08",2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,3725,4401
"2011-06-09",2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,3352,3915
"2011-06-10",2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,3771,4586
"2011-06-11",2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,3237,4966
"2011-06-12",2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,2993,4460
"2011-06-13",2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,4157,5020
"2011-06-14",2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,4164,4891
"2011-06-15",2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,4411,5180
"2011-06-16",2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,3222,3767
"2011-06-17",2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,3981,4844
"2011-06-18",2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,3312,5119
"2011-06-19",2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,3105,4744
"2011-06-20",2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,3311,4010
"2011-06-21",3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,4061,4835
"2011-06-22",3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,3846,4507
"2011-06-23",3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,4044,4790
"2011-06-24",3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,4022,4991
"2011-06-25",3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,3420,5202
"2011-06-26",3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,3385,5305
"2011-06-27",3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,3854,4708
"2011-06-28",3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,3916,4648
"2011-06-29",3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,4377,5225
"2011-06-30",3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,4488,5515
"2011-07-01",3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,4116,5362
"2011-07-02",3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2915,5119
"2011-07-03",3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2367,4649
"2011-07-04",3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,2978,6043
"2011-07-05",3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,3634,4665
"2011-07-06",3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,3845,4629
"2011-07-07",3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,3838,4592
"2011-07-08",3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,3348,4040
"2011-07-09",3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,3348,5336
"2011-07-10",3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,3138,4881
"2011-07-11",3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,3363,4086
"2011-07-12",3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,3596,4258
"2011-07-13",3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,3594,4342
"2011-07-14",3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,4196,5084
"2011-07-15",3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,4220,5538
"2011-07-16",3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,3505,5923
"2011-07-17",3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,3296,5302
"2011-07-18",3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,3617,4458
"2011-07-19",3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,3789,4541
"2011-07-20",3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,3688,4332
"2011-07-21",3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,3152,3784
"2011-07-22",3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,2825,3387
"2011-07-23",3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,2298,3285
"2011-07-24",3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,2556,3606
"2011-07-25",3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,3272,3840
"2011-07-26",3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,3840,4590
"2011-07-27",3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,3901,4656
"2011-07-28",3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,3784,4390
"2011-07-29",3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,3176,3846
"2011-07-30",3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,2916,4475
"2011-07-31",3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,2778,4302
"2011-08-01",3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,3537,4266
"2011-08-02",3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,4044,4845
"2011-08-03",3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,3107,3574
"2011-08-04",3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,3777,4576
"2011-08-05",3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,3843,4866
"2011-08-06",3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,2773,4294
"2011-08-07",3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,2487,3785
"2011-08-08",3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,3480,4326
"2011-08-09",3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,3695,4602
"2011-08-10",3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,3896,4780
"2011-08-11",3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,3980,4792
"2011-08-12",3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,3854,4905
"2011-08-13",3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,2646,4150
"2011-08-14",3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,2482,3820
"2011-08-15",3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,3563,4338
"2011-08-16",3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,4004,4725
"2011-08-17",3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,4026,4694
"2011-08-18",3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,3166,3805
"2011-08-19",3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,3356,4153
"2011-08-20",3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,3277,5191
"2011-08-21",3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,2624,3873
"2011-08-22",3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,3925,4758
"2011-08-23",3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,4614,5895
"2011-08-24",3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,4181,5130
"2011-08-25",3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,3107,3542
"2011-08-26",3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,3893,4661
"2011-08-27",3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,889,1115
"2011-08-28",3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,2919,4334
"2011-08-29",3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,3905,4634
"2011-08-30",3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,4429,5204
"2011-08-31",3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,4370,5058
"2011-09-01",3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,4332,5115
"2011-09-02",3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,3852,4727
"2011-09-03",3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,2549,4484
"2011-09-04",3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2419,4940
"2011-09-05",3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,2115,3351
"2011-09-06",3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,2506,2710
"2011-09-07",3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,1878,1996
"2011-09-08",3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,1689,1842
"2011-09-09",3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,3127,3544
"2011-09-10",3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,3595,5345
"2011-09-11",3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,3413,5046
"2011-09-12",3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,4023,4713
"2011-09-13",3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,4062,4763
"2011-09-14",3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,4138,4785
"2011-09-15",3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,3231,3659
"2011-09-16",3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,4018,4760
"2011-09-17",3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,3077,4511
"2011-09-18",3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,2921,4274
"2011-09-19",3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,3848,4539
"2011-09-20",3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,3203,3641
"2011-09-21",3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,3813,4352
"2011-09-22",3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,4240,4795
"2011-09-23",4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,2137,2395
"2011-09-24",4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,3647,5423
"2011-09-25",4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,3466,5010
"2011-09-26",4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,3946,4630
"2011-09-27",4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,3643,4120
"2011-09-28",4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,3427,3907
"2011-09-29",4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,4186,4839
"2011-09-30",4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,4372,5202
"2011-10-01",4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,1949,2429
"2011-10-02",4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,2302,2918
"2011-10-03",4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,3240,3570
"2011-10-04",4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,3970,4456
"2011-10-05",4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,4267,4826
"2011-10-06",4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,4126,4765
"2011-10-07",4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,4036,4985
"2011-10-08",4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,3174,5409
"2011-10-09",4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,3114,5511
"2011-10-10",4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,3603,5117
"2011-10-11",4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,3896,4563
"2011-10-12",4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,2199,2416
"2011-10-13",4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,2623,2913
"2011-10-14",4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,3115,3644
"2011-10-15",4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,3318,5217
"2011-10-16",4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,3293,5041
"2011-10-17",4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,3857,4570
"2011-10-18",4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,4111,4748
